 title="time marching" 
 variable= "x", "t", "u" 
 zone f=point, I=          71 j=          30
  0.51000000D+02    0.25000000D-01    0.16621392D-05
  0.52000000D+02    0.25000000D-01    0.78388020D-06
  0.53000000D+02    0.25000000D-01    0.36818813D-06
  0.54000000D+02    0.25000000D-01    0.17227965D-06
  0.55000000D+02    0.25000000D-01    0.80322882D-07
  0.56000000D+02    0.25000000D-01    0.37322824D-07
  0.57000000D+02    0.25000000D-01    0.17287056D-07
  0.58000000D+02    0.25000000D-01    0.79827737D-08
  0.59000000D+02    0.25000000D-01    0.36757151D-08
  0.60000000D+02    0.25000000D-01    0.16879080D-08
  0.61000000D+02    0.25000000D-01    0.77309701D-09
  0.62000000D+02    0.25000000D-01    0.35322391D-09
  0.63000000D+02    0.25000000D-01    0.16101200D-09
  0.64000000D+02    0.25000000D-01    0.73224168D-10
  0.65000000D+02    0.25000000D-01    0.33245750D-10
  0.66000000D+02    0.25000000D-01    0.15027627D-10
  0.67000000D+02    0.25000000D-01    0.68603590D-11
  0.68000000D+02    0.25000000D-01    0.29450491D-11
  0.69000000D+02    0.25000000D-01    0.16618383D-11
  0.70000000D+02    0.25000000D-01    0.00000000D+00
  0.00000000D+00    0.30000000D-01    0.00000000D+00
  0.10000000D+01    0.30000000D-01   -0.16235451D+00
  0.20000000D+01    0.30000000D-01    0.87516777D-02
  0.30000000D+01    0.30000000D-01   -0.58855351D-01
  0.40000000D+01    0.30000000D-01   -0.69372641D-01
  0.50000000D+01    0.30000000D-01    0.58561842D-01
  0.60000000D+01    0.30000000D-01   -0.58265008D-01
  0.70000000D+01    0.30000000D-01    0.52260917D-03
  0.80000000D+01    0.30000000D-01   -0.16106623D+00
  0.90000000D+01    0.30000000D-01    0.41105137D+00
  0.10000000D+02    0.30000000D-01    0.73421276D+00
  0.11000000D+02    0.30000000D-01    0.20957352D+01
  0.12000000D+02    0.30000000D-01    0.30700227D+01
  0.13000000D+02    0.30000000D-01    0.48019655D+01
  0.14000000D+02    0.30000000D-01    0.64975449D+01
  0.15000000D+02    0.30000000D-01    0.81615116D+01
  0.16000000D+02    0.30000000D-01    0.10161281D+02
  0.17000000D+02    0.30000000D-01    0.12192609D+02
  0.18000000D+02    0.30000000D-01    0.14187644D+02
  0.19000000D+02    0.30000000D-01    0.15424881D+02
  0.20000000D+02    0.30000000D-01    0.16275124D+02
  0.21000000D+02    0.30000000D-01    0.16086594D+02
  0.22000000D+02    0.30000000D-01    0.15649786D+02
  0.23000000D+02    0.30000000D-01    0.14478191D+02
  0.24000000D+02    0.30000000D-01    0.13087861D+02
  0.25000000D+02    0.30000000D-01    0.11519568D+02
  0.26000000D+02    0.30000000D-01    0.97095990D+01
  0.27000000D+02    0.30000000D-01    0.77576337D+01
  0.28000000D+02    0.30000000D-01    0.58658760D+01
  0.29000000D+02    0.30000000D-01    0.42119746D+01
  0.30000000D+02    0.30000000D-01    0.28872339D+01
  0.31000000D+02    0.30000000D-01    0.18998999D+01
  0.32000000D+02    0.30000000D-01    0.12063155D+01
  0.33000000D+02    0.30000000D-01    0.74238332D+00
  0.34000000D+02    0.30000000D-01    0.44453837D+00
  0.35000000D+02    0.30000000D-01    0.25985336D+00
  0.36000000D+02    0.30000000D-01    0.14869382D+00
  0.37000000D+02    0.30000000D-01    0.83488857D-01
  0.38000000D+02    0.30000000D-01    0.46090270D-01
  0.39000000D+02    0.30000000D-01    0.25060159D-01
  0.40000000D+02    0.30000000D-01    0.13439923D-01
  0.41000000D+02    0.30000000D-01    0.71187871D-02
  0.42000000D+02    0.30000000D-01    0.37281796D-02
  0.43000000D+02    0.30000000D-01    0.19323853D-02
  0.44000000D+02    0.30000000D-01    0.99213252D-03
  0.45000000D+02    0.30000000D-01    0.50495660D-03
  0.46000000D+02    0.30000000D-01    0.25494053D-03
  0.47000000D+02    0.30000000D-01    0.12775687D-03
  0.48000000D+02    0.30000000D-01    0.63580328D-04
  0.49000000D+02    0.30000000D-01    0.31438589D-04
  0.50000000D+02    0.30000000D-01    0.15452298D-04
  0.51000000D+02    0.30000000D-01    0.75523598D-05
  0.52000000D+02    0.30000000D-01    0.36718570D-05
  0.53000000D+02    0.30000000D-01    0.17764062D-05
  0.54000000D+02    0.30000000D-01    0.85542083D-06
  0.55000000D+02    0.30000000D-01    0.41012383D-06
  0.56000000D+02    0.30000000D-01    0.19581894D-06
  0.57000000D+02    0.30000000D-01    0.93131599D-07
  0.58000000D+02    0.30000000D-01    0.44129853D-07
  0.59000000D+02    0.30000000D-01    0.20837441D-07
  0.60000000D+02    0.30000000D-01    0.98064022D-08
  0.61000000D+02    0.30000000D-01    0.46004521D-08
  0.62000000D+02    0.30000000D-01    0.21516921D-08
  0.63000000D+02    0.30000000D-01    0.10035156D-08
  0.64000000D+02    0.30000000D-01    0.46668486D-09
  0.65000000D+02    0.30000000D-01    0.21659426D-09
  0.66000000D+02    0.30000000D-01    0.99987832D-10
  0.67000000D+02    0.30000000D-01    0.46673852D-10
