 title="time marching" 
 variable= "x", "t", "u" 
 zone f=point, I=          71 j=         120
  0.54000000D+02    0.50000000D-02    0.65614085D-23
  0.55000000D+02    0.50000000D-02    0.88532131D-24
  0.56000000D+02    0.50000000D-02    0.11913058D-24
  0.57000000D+02    0.50000000D-02    0.15989402D-25
  0.58000000D+02    0.50000000D-02    0.21408693D-26
  0.59000000D+02    0.50000000D-02    0.28599230D-27
  0.60000000D+02    0.50000000D-02    0.38122158D-28
  0.61000000D+02    0.50000000D-02    0.50711703D-29
  0.62000000D+02    0.50000000D-02    0.67327340D-30
  0.63000000D+02    0.50000000D-02    0.89221372D-31
  0.64000000D+02    0.50000000D-02    0.11802640D-31
  0.65000000D+02    0.50000000D-02    0.15586843D-32
  0.66000000D+02    0.50000000D-02    0.20551303D-33
  0.67000000D+02    0.50000000D-02    0.27055542D-34
  0.68000000D+02    0.50000000D-02    0.35555216D-35
  0.69000000D+02    0.50000000D-02    0.47488578D-36
  0.70000000D+02    0.50000000D-02    0.00000000D+00
  0.00000000D+00    0.62500000D-02    0.00000000D+00
  0.10000000D+01    0.62500000D-02   -0.41437024D-02
  0.20000000D+01    0.62500000D-02    0.17192216D-01
  0.30000000D+01    0.62500000D-02   -0.65656539D-01
  0.40000000D+01    0.62500000D-02    0.20458648D+00
  0.50000000D+01    0.62500000D-02   -0.43211616D+00
  0.60000000D+01    0.62500000D-02    0.17041783D+00
  0.70000000D+01    0.62500000D-02    0.16799095D+01
  0.80000000D+01    0.62500000D-02    0.35424271D+01
  0.90000000D+01    0.62500000D-02    0.55094882D+01
  0.10000000D+02    0.62500000D-02    0.75001609D+01
  0.11000000D+02    0.62500000D-02    0.95083061D+01
  0.12000000D+02    0.62500000D-02    0.11465617D+02
  0.13000000D+02    0.62500000D-02    0.13631313D+02
  0.14000000D+02    0.62500000D-02    0.15090827D+02
  0.15000000D+02    0.62500000D-02    0.18364233D+02
  0.16000000D+02    0.62500000D-02    0.19159161D+02
  0.17000000D+02    0.62500000D-02    0.18140198D+02
  0.18000000D+02    0.62500000D-02    0.16415052D+02
  0.19000000D+02    0.62500000D-02    0.14481522D+02
  0.20000000D+02    0.62500000D-02    0.12497157D+02
  0.21000000D+02    0.62500000D-02    0.10495321D+02
  0.22000000D+02    0.62500000D-02    0.85170953D+01
  0.23000000D+02    0.62500000D-02    0.64343265D+01
  0.24000000D+02    0.62500000D-02    0.47045837D+01
  0.25000000D+02    0.62500000D-02    0.20678830D+01
  0.26000000D+02    0.62500000D-02    0.67041971D+00
  0.27000000D+02    0.62500000D-02    0.17989823D+00
  0.28000000D+02    0.62500000D-02    0.42489443D-01
  0.29000000D+02    0.62500000D-02    0.91559913D-02
  0.30000000D+02    0.62500000D-02    0.18413739D-02
  0.31000000D+02    0.62500000D-02    0.35090406D-03
  0.32000000D+02    0.62500000D-02    0.64044227D-04
  0.33000000D+02    0.62500000D-02    0.11282294D-04
  0.34000000D+02    0.62500000D-02    0.19296652D-05
  0.35000000D+02    0.62500000D-02    0.32187868D-06
  0.36000000D+02    0.62500000D-02    0.52549634D-07
  0.37000000D+02    0.62500000D-02    0.84207255D-08
  0.38000000D+02    0.62500000D-02    0.13275061D-08
  0.39000000D+02    0.62500000D-02    0.20628103D-09
  0.40000000D+02    0.62500000D-02    0.31645289D-10
  0.41000000D+02    0.62500000D-02    0.47991971D-11
  0.42000000D+02    0.62500000D-02    0.72033352D-12
  0.43000000D+02    0.62500000D-02    0.10710988D-12
  0.44000000D+02    0.62500000D-02    0.15791520D-13
  0.45000000D+02    0.62500000D-02    0.23101320D-14
  0.46000000D+02    0.62500000D-02    0.33554305D-15
  0.47000000D+02    0.62500000D-02    0.48417794D-16
  0.48000000D+02    0.62500000D-02    0.69442510D-17
  0.49000000D+02    0.62500000D-02    0.99038422D-18
  0.50000000D+02    0.62500000D-02    0.14051200D-18
  0.51000000D+02    0.62500000D-02    0.19838561D-19
  0.52000000D+02    0.62500000D-02    0.27882654D-20
  0.53000000D+02    0.62500000D-02    0.39022214D-21
  0.54000000D+02    0.62500000D-02    0.54394924D-22
  0.55000000D+02    0.62500000D-02    0.75540168D-23
  0.56000000D+02    0.62500000D-02    0.10453600D-23
  0.57000000D+02    0.62500000D-02    0.14418142D-24
  0.58000000D+02    0.62500000D-02    0.19823855D-25
  0.59000000D+02    0.62500000D-02    0.27175387D-26
  0.60000000D+02    0.62500000D-02    0.37148377D-27
  0.61000000D+02    0.62500000D-02    0.50645742D-28
  0.62000000D+02    0.62500000D-02    0.68872018D-29
  0.63000000D+02    0.62500000D-02    0.93431445D-30
  0.64000000D+02    0.62500000D-02    0.12645718D-30
  0.65000000D+02    0.62500000D-02    0.17078134D-31
  0.66000000D+02    0.62500000D-02    0.23015846D-32
  0.67000000D+02    0.62500000D-02    0.30956085D-33
  0.68000000D+02    0.62500000D-02    0.41542171D-34
  0.69000000D+02    0.62500000D-02    0.56676571D-35
  0.70000000D+02    0.62500000D-02    0.00000000D+00
  0.00000000D+00    0.75000000D-02    0.00000000D+00
  0.10000000D+01    0.75000000D-02   -0.76191171D-02
  0.20000000D+01    0.75000000D-02    0.27803317D-01
  0.30000000D+01    0.75000000D-02   -0.92507929D-01
  0.40000000D+01    0.75000000D-02    0.24261444D+00
  0.50000000D+01    0.75000000D-02   -0.39673159D+00
  0.60000000D+01    0.75000000D-02   -0.40462173D-01
  0.70000000D+01    0.75000000D-02    0.12903084D+01
  0.80000000D+01    0.75000000D-02    0.30763463D+01
  0.90000000D+01    0.75000000D-02    0.50189548D+01
  0.10000000D+02    0.75000000D-02    0.70006138D+01
  0.11000000D+02    0.75000000D-02    0.90153320D+01
  0.12000000D+02    0.75000000D-02    0.10944407D+02
  0.13000000D+02    0.75000000D-02    0.13185018D+02
  0.14000000D+02    0.75000000D-02    0.14514771D+02
  0.15000000D+02    0.75000000D-02    0.17793465D+02
  0.16000000D+02    0.75000000D-02    0.19080916D+02
  0.17000000D+02    0.75000000D-02    0.18419427D+02
  0.18000000D+02    0.75000000D-02    0.16847081D+02
  0.19000000D+02    0.75000000D-02    0.14963198D+02
  0.20000000D+02    0.75000000D-02    0.12993672D+02
  0.21000000D+02    0.75000000D-02    0.10991086D+02
  0.22000000D+02    0.75000000D-02    0.90275505D+01
  0.23000000D+02    0.75000000D-02    0.69074446D+01
  0.24000000D+02    0.75000000D-02    0.52426060D+01
  0.25000000D+02    0.75000000D-02    0.26032659D+01
  0.26000000D+02    0.75000000D-02    0.95954308D+00
  0.27000000D+02    0.75000000D-02    0.29027895D+00
  0.28000000D+02    0.75000000D-02    0.76497268D-01
  0.29000000D+02    0.75000000D-02    0.18216350D-01
  0.30000000D+02    0.75000000D-02    0.40143951D-02
  0.31000000D+02    0.75000000D-02    0.83218092D-03
  0.32000000D+02    0.75000000D-02    0.16418015D-03
  0.33000000D+02    0.75000000D-02    0.31093568D-04
  0.34000000D+02    0.75000000D-02    0.56899588D-05
  0.35000000D+02    0.75000000D-02    0.10112187D-05
  0.36000000D+02    0.75000000D-02    0.17523847D-06
  0.37000000D+02    0.75000000D-02    0.29708026D-07
  0.38000000D+02    0.75000000D-02    0.49400670D-08
  0.39000000D+02    0.75000000D-02    0.80753853D-09
  0.40000000D+02    0.75000000D-02    0.13000694D-09
  0.41000000D+02    0.75000000D-02    0.20645288D-10
  0.42000000D+02    0.75000000D-02    0.32382135D-11
  0.43000000D+02    0.75000000D-02    0.50224824D-12
  0.44000000D+02    0.75000000D-02    0.77106624D-13
  0.45000000D+02    0.75000000D-02    0.11727410D-13
  0.46000000D+02    0.75000000D-02    0.17683997D-14
  0.47000000D+02    0.75000000D-02    0.26455659D-15
  0.48000000D+02    0.75000000D-02    0.39289402D-16
  0.49000000D+02    0.75000000D-02    0.57953768D-17
  0.50000000D+02    0.75000000D-02    0.84946171D-18
  0.51000000D+02    0.75000000D-02    0.12377910D-18
  0.52000000D+02    0.75000000D-02    0.17937400D-19
  0.53000000D+02    0.75000000D-02    0.25860192D-20
  0.54000000D+02    0.75000000D-02    0.37102358D-21
  0.55000000D+02    0.75000000D-02    0.52990002D-22
  0.56000000D+02    0.75000000D-02    0.75356954D-23
  0.57000000D+02    0.75000000D-02    0.10673193D-23
  0.58000000D+02    0.75000000D-02    0.15059241D-24
  0.59000000D+02    0.75000000D-02    0.21170832D-25
  0.60000000D+02    0.75000000D-02    0.29660633D-26
  0.61000000D+02    0.75000000D-02    0.41419600D-27
  0.62000000D+02    0.75000000D-02    0.57661264D-28
  0.63000000D+02    0.75000000D-02    0.80035000D-29
  0.64000000D+02    0.75000000D-02    0.11077798D-29
  0.65000000D+02    0.75000000D-02    0.15291875D-30
  0.66000000D+02    0.75000000D-02    0.21054939D-31
  0.67000000D+02    0.75000000D-02    0.28919116D-32
